Name,Identifier,Weight,Sector,Shares Held
Apple Inc.,AAPL,4.413999,Information Technology,51122460
Microsoft Corporation,MSFT,3.636908,Information Technology,85489150
Amazon.com Inc.,AMZN,3.198155,Consumer Discretionary,4568331
Berkshire Hathaway Inc. Class B,BRK.B,1.724556,Financials,21735832
Johnson & Johnson,JNJ,1.626871,Health Care,29909192
Facebook Inc. Class A,FB,1.594359,Communication Services,26888112
JPMorgan Chase & Co.,JPM,1.543243,Financials,37465520
Alphabet Inc. Class C,GOOG,1.477386,Communication Services,3432899
Exxon Mobil Corporation,XOM,1.452002,Energy,47201640
Alphabet Inc. Class A,GOOGL,1.444596,Communication Services,3332313
Pfizer Inc.,PFE,1.114474,Health Care,65356304
UnitedHealth Group Incorporated,UNH,1.113787,Health Care,10730277
Visa Inc. Class A,V,1.093258,Information Technology,19805772
Bank of America Corp,BAC,1.081559,Financials,103547330
Verizon Communications Inc.,VZ,1.021124,Communication Services,46065470
Wells Fargo & Company,WFC,0.984348,Financials,48319604
Procter & Gamble Company,PG,0.970123,Consumer Staples,27748776
AT&T Inc.,T,0.953466,Communication Services,80961896
Chevron Corporation,CVX,0.936353,Energy,21362920
Cisco Systems Inc.,CSCO,0.910069,Information Technology,50951430
Home Depot Inc.,HD,0.897193,Consumer Discretionary,12754702
Intel Corporation,INTC,0.894691,Information Technology,51401796
Boeing Company,BA,0.850973,Industrials,5955198
Mastercard Incorporated Class A,MA,0.815555,Information Technology,10167275
Merck & Co. Inc.,MRK,0.81475,Health Care,29647060
Coca-Cola Company,KO,0.779641,Consumer Staples,42673216
Walt Disney Company,DIS,0.743547,Communication Services,16580644
Comcast Corporation Class A,CMCSA,0.716875,Communication Services,50919290
Citigroup Inc.,C,0.715959,Financials,28053216
PepsiCo Inc.,PEP,0.698992,Consumer Staples,15768048
Walmart Inc.,WMT,0.624378,Consumer Staples,16026210
Philip Morris International Inc.,PM,0.617007,Consumer Staples,17331072
Netflix Inc.,NFLX,0.596671,Communication Services,4854876
McDonald's Corporation,MCD,0.595567,Consumer Discretionary,8648303
Oracle Corporation,ORCL,0.593398,Information Technology,31497368
NVIDIA Corporation,NVDA,0.55342,Information Technology,6778490
Medtronic plc,MDT,0.542695,Health Care,15055998
Adobe Inc.,ADBE,0.542477,Information Technology,5460156
AbbVie Inc.,ABBV,0.54202,Health Care,16882656
DowDuPont Inc.,DWDP,0.534951,Materials,25733656
Amgen Inc.,AMGN,0.533062,Health Care,7214334
Altria Group Inc,MO,0.52064,Consumer Staples,20984684
Abbott Laboratories,ABT,0.519918,Health Care,19558978
International Business Machines Corporation,IBM,0.505767,Information Technology,10182142
Honeywell International Inc.,HON,0.48103,Industrials,8303220
3M Company,MMM,0.475182,Industrials,6539116
salesforce.com inc.,CRM,0.466881,Information Technology,8441335
Union Pacific Corporation,UNP,0.466627,Industrials,8240676
Eli Lilly and Company,LLY,0.451627,Health Care,10656294
General Electric Company,GE,0.449133,Industrials,96894800
PayPal Holdings Inc,PYPL,0.445832,Information Technology,13203285
Accenture Plc Class A,ACN,0.439408,Information Technology,7128487
Costco Wholesale Corporation,COST,0.434817,Consumer Staples,4889194
Broadcom Inc.,AVGO,0.420409,Information Technology,4815670
NIKE Inc. Class B,NKE,0.40994,Consumer Discretionary,14276126
United Technologies Corporation,UTX,0.409779,Industrials,8385654
Thermo Fisher Scientific Inc.,TMO,0.406053,Health Care,4490591
Texas Instruments Incorporated,TXN,0.391634,Information Technology,10863939
Gilead Sciences Inc.,GILD,0.389789,Health Care,14460580
QUALCOMM Incorporated,QCOM,0.389265,Information Technology,15679612
Booking Holdings Inc.,BKNG,0.375151,Consumer Discretionary,529236
NextEra Energy Inc.,NEE,0.357712,Utilities,5257658
Bristol-Myers Squibb Company,BMY,0.351682,Health Care,18192976
